full_name,a,e,i,om,w,q,ad,H,diameter,ma,E_rad,E_deg
86450 (2000 CK33),0.9681,0.4148,18.11,124.83,215.6,0.567,1.37,18.44,,-50.03,-1.2692748346404934,-72.72409106706573
86666 (2000 FL10),1.463,0.427,29.01,186.9,258.89,0.838,2.09,16.88,1165.0,43.94999999999999,1.1582477412317396,66.3627072031394
86667 (2000 FO10),0.8594,0.5946,14.29,208.3,172.49,0.348,1.37,17.54,745.0,49.06,1.4462530608519382,82.86419649469309
86819 (2000 GK137),1.996,0.5059,10.06,164.87,150.28,0.986,3.01,17.48,802.0,172.36,3.0530065941124063,174.92439266825085
86829 (2000 GR146),1.463,0.575,14.37,78.46,31.43,0.622,2.3,15.81,1823.0,36.22,1.1591171071142212,66.41251819905824
86878 (2000 HD24),1.342,0.6186,9.47,230.98,214.94,0.512,2.17,17.65,,27.909999999999997,1.0114471500698081,57.95165289953522
87024 (2000 JS66),1.197,0.1898,14.43,230.5,84.94,0.97,1.42,18.73,,-81.22,-1.6072304577885221,-92.08752193616154
87025 (2000 JT66),1.226,0.4836,25.32,120.49,359.62,0.633,1.82,18.13,,156.52999999999997,2.8643346030087797,164.1142838656832
87309 (2000 QP),0.8475,0.4632,34.74,294.27,188.17,0.455,1.24,17.59,568.0,-165.42,-2.967401552399492,-170.0195850730595
87311 (2000 QJ1),1.59,0.5121,7.7,191.41,343.51,0.776,2.4,16.5,1948.0,149.26999999999998,2.784336757489721,159.53074494730163
87684 (2000 SY2),0.8587,0.6427,19.22,162.0,47.82,0.307,1.41,15.97,,138.45999999999998,2.6944693072966945,154.3817193356391
88213 (2001 AF2),0.9539,0.5953,17.81,114.25,194.99,0.386,1.52,19.48,912.0,-162.57999999999998,-2.9505774278965955,-169.0556337450409
88254 (2001 FM129),1.182,0.6295,1.52,272.11,140.24,0.438,1.93,17.77,800.0,-66.79,-1.78130856830381,-102.06146297429943
88710 (2001 SL9),1.061,0.2701,21.9,202.82,329.36,0.775,1.35,17.58,760.0,63.84,1.3793852965939049,79.03295581723205
88959 (2001 TZ44),1.723,0.5636,53.83,38.94,114.92,0.752,2.69,17.45,,12.319999999999993,0.47054518539687507,26.960253193441787
89136 (2001 US16),1.356,0.2528,1.91,175.9,67.2,1.013,1.7,20.28,,42.31999999999999,0.9432588284855146,54.044749860674386
89958 (2002 LY45),1.642,0.8864,9.9,188.13,222.96,0.187,3.1,17.22,,-166.52,-3.016721039674372,-172.8453835416593
89959 (2002 NT7),1.735,0.5284,42.36,132.0,300.72,0.818,2.65,16.55,1407.0,-160.95,-2.923457915214547,-167.50180012590798
90075 (2002 VU94),2.138,0.5742,8.86,226.5,31.14,0.91,3.37,15.38,2233.0,74.07,1.8454447153210887,105.73619351262005
90147 (2002 YK14),1.474,0.3315,28.0,282.68,105.07,0.986,1.96,18.31,,120.89999999999998,2.3467194205547437,134.4571184991729
90367 (2003 LC5),1.156,0.4262,16.88,86.82,313.85,0.663,1.65,17.92,1748.0,109.52999999999997,2.244690693524718,128.61130305126005
90403 (2003 YE45),1.234,0.28,19.01,286.22,306.84,0.889,1.58,17.78,572.0,88.52999999999997,1.8167158713694265,104.0901520038999
90416 (2003 YK118),1.695,0.4922,7.83,326.75,233.27,0.861,2.53,18.86,968.0,115.82,2.3660362065566303,135.56388881083842
96315 (1997 AP10),1.443,0.6436,6.65,293.03,356.3,0.514,2.37,17.04,,-101.71,-2.2684134148280726,-129.9705148605074
96536 (1998 SO10),2.305,0.777,41.06,199.35,22.7,0.514,4.1,15.45,,149.33999999999997,2.8384359600118407,162.63040092684258
96590 (1998 XB),0.9079,0.3512,13.6,75.68,202.72,0.589,1.23,16.28,882.0,73.63,1.635549890466849,93.71010590683454
96744 (1999 OW3),2.095,0.7791,34.72,195.88,35.93,0.463,3.73,14.78,,136.54000000000002,2.709405038936399,155.2374737225341
98943 Torifune (2001 CC21),1.032,0.2192,4.81,75.36,179.4,0.806,1.26,18.71,,-39.25999999999999,-0.8498794946374758,-48.694508137438646
99248 (2001 KY66),1.866,0.5077,10.61,284.11,61.55,0.919,2.81,16.54,1115.0,-25.650000000000006,-0.8182852014201819,-46.884288479388886
99907 (1989 VA),0.7284,0.5947,28.8,225.58,2.87,0.295,1.16,17.93,1400.0,-24.159999999999997,-0.8800482348973924,-50.42304962755827
99935 (2002 AV4),1.654,0.645,12.77,16.3,323.01,0.587,2.72,16.15,,-3.680000000000007,-0.17918492063743058,-10.266539704911366
99942 Apophis (2004 MN4),0.9224,0.1912,3.34,203.9,126.67,0.746,1.1,19.09,340.0,132.81,2.4412031519078554,139.87063753835412
100004 (1983 VA),2.59,0.7027,15.7,76.29,13.75,0.77,4.41,16.47,2700.0,167.83999999999997,3.016814720586299,172.85075106253362
100085 (1992 UY4),2.651,0.6187,2.64,305.17,42.24,1.011,4.29,17.89,,69.66999999999999,1.8161428188692317,104.05731851419932
100756 (1998 FM5),2.265,0.5546,11.57,176.5,312.06,1.009,3.52,16.34,1809.0,-131.1,-2.582361266165172,-147.95840172932378
101869 (1999 MM),1.624,0.6107,4.77,110.92,268.84,0.632,2.62,19.48,,63.18000000000001,1.7076860587580542,97.84320390016603
101955 Bennu (1999 RQ36),1.126,0.2037,6.03,2.06,66.22,0.897,1.36,20.21,484.44,-78.3,-1.5702927784863832,-89.97114880714123
103067 (1999 XA143),1.843,0.5812,38.57,116.51,104.1,0.772,2.91,16.8,1282.0,-93.19,-2.121688389150344,-121.56379014022492
105140 (2000 NL10),0.9143,0.8169,32.54,237.28,281.68,0.167,1.66,15.74,1946.0,-53.2,-1.7344943321787962,-99.37920482320727
106538 (2000 WK63),2.419,0.7656,10.34,163.38,41.74,0.567,4.27,16.29,,-2.6699999999999875,-0.19479087595015698,-11.160695079600373
106589 (2000 WN107),2.146,0.6178,14.37,163.36,11.82,0.82,3.47,16.02,,98.63999999999999,2.215417338652472,126.93406336489164
108906 (2001 PL9),1.235,0.3604,20.93,172.05,344.02,0.79,1.68,17.9,,-149.46,-2.747088884130751,-157.39659900799487
111253 (2001 XU10),1.753,0.4398,42.04,310.14,6.97,0.982,2.52,15.25,3006.0,51.99000000000001,1.3350298714495434,76.49157715795167
136617 (1994 CC),1.638,0.4174,4.68,268.5,24.95,0.954,2.32,17.97,,111.66000000000003,2.2686548695770115,129.98434919856498
136618 (1994 CN2),1.573,0.395,1.44,99.34,248.27,0.952,2.19,16.86,,-0.060000000000002274,-0.0017309044790006682,-0.09917352138702995
136770 (1996 PC1),1.838,0.4514,25.1,326.21,45.94,1.009,2.67,20.56,,65.41,1.5929095026094326,91.26699164580367
136793 (1997 AQ18),1.147,0.4654,17.37,296.24,37.03,0.613,1.68,18.35,,93.41000000000003,2.0444706807383577,117.13954134454627
136795 Tatsunokingo (1997 BQ),1.747,0.4781,10.99,50.13,147.56,0.912,2.58,18.11,,-28.539999999999992,-0.8606415386388128,-49.31112783764934
136818 Selqet (1997 MW1),0.9375,0.3463,12.78,259.92,203.84,0.613,1.26,18.98,,89.32,1.8879563574684477,108.17193118783422
136849 (1998 CS1),1.492,0.5783,7.79,110.67,97.81,0.629,2.35,17.7,,-118.95,-2.446462050950393,-140.1719502583769
136874 (1998 FH74),2.202,0.884,21.14,197.53,193.41,0.255,4.15,15.75,3398.0,35.31999999999999,1.4981165187029664,85.83575374051162
136900 (1998 HL49),1.747,0.6367,10.98,205.94,239.26,0.635,2.86,17.39,,-121.1,-2.4964495667478044,-143.03602394191208
136993 (1998 ST49),2.309,0.5955,24.47,18.19,48.11,0.934,3.68,17.85,,73.30000000000001,1.8515162322449288,106.08406580759834
137032 (1998 UO1),1.596,0.7634,25.47,358.31,252.6,0.378,2.81,16.66,1055.0,26.039999999999992,1.1518694924495698,65.9972604672366
137052 Tjelvar (1998 VO33),1.248,0.8097,14.9,64.25,209.95,0.238,2.26,17.04,,-3.969999999999999,-0.3370967225699737,-19.3142194909519
137062 (1998 WM),1.225,0.3153,22.52,45.62,172.58,0.838,1.61,16.77,1265.0,21.77000000000001,0.5428299161059001,31.101863186308634
137078 (1998 XZ4),1.939,0.6379,23.15,324.43,9.64,0.702,3.18,16.34,,-150.7,-2.827370983014587,-161.9964244444906
137084 (1998 XS16),1.212,0.4966,26.56,272.98,358.34,0.61,1.81,16.48,1228.0,73.9,1.7759812951041523,101.75623270364588
137099 (1998 YW3),1.1,0.4628,28.79,94.26,194.86,0.591,1.61,18.29,564.0,90.76999999999998,2.00423818955083,114.83438940020369
137108 (1999 AN10),1.459,0.562,39.93,314.32,268.35,0.639,2.28,18.05,,-139.19,-2.6797500825849774,-153.538369881953
137120 (1999 BJ8),1.9,0.5489,8.97,339.43,222.04,0.857,2.94,18.29,,-116.68,-2.405130459419973,-137.80382450312516
137126 (1999 CF9),1.77,0.6008,5.54,156.85,90.61,0.707,2.83,18.06,,-91.86,-2.1167291586662285,-121.27964716385247
137158 (1999 FB),1.18,0.6069,12.9,37.09,3.07,0.464,1.9,17.92,,-178.74,-3.1279070428819824,-179.2158722663834
137170 (1999 HF1),0.8191,0.4625,25.66,155.84,253.42,0.44,1.2,14.66,,-119.15,-2.394001610575396,-137.16618843349184
137175 (1999 JA11),1.261,0.3412,16.43,116.22,328.37,0.831,1.69,18.33,,-166.13,-2.9608497450110822,-169.64419416152097
137427 (1999 TF211),2.44,0.6118,39.51,347.9,162.39,0.947,3.93,15.28,,56.0,1.589082100332544,91.04769764883918
137805 (1999 YK5),0.8294,0.5583,16.75,349.51,292.88,0.366,1.29,16.72,2243.0,72.59,1.8094152588185126,103.6718577168723
137924 (2000 BD19),0.8764,0.895,25.75,333.67,324.37,0.092,1.66,17.5,970.0,153.2,2.893562405947212,165.78891361849549
137925 (2000 BJ19),1.292,0.7638,31.12,131.22,175.52,0.305,2.28,16.07,1372.0,-125.08,-2.5859525587238443,-148.16416763593244
138013 (2000 CN101),1.598,0.6348,15.98,183.3,118.76,0.584,2.61,14.72,3518.0,-39.05000000000001,-1.29180585662132,-74.01502353468358
138127 (2000 EE14),0.6618,0.5331,26.46,155.75,197.85,0.309,1.01,17.11,754.0,-91.47,-2.0656109281794994,-118.35078830078592
138175 (2000 EE104),1.004,0.2933,5.23,25.47,280.82,0.709,1.3,20.49,,-95.24,-1.9361889523913773,-110.93545531188221
138205 (2000 EZ148),2.584,0.6119,11.18,3.81,305.84,1.003,4.17,15.04,,-151.82999999999998,-2.8347550311478384,-162.41949923824737
138258 (2000 GD2),0.7578,0.4767,32.14,358.11,16.99,0.397,1.12,18.98,,-82.22,-1.8879371319682974,-108.17082964781657
138325 (2000 GO82),2.162,0.8047,25.73,173.33,164.44,0.422,3.9,16.68,,166.31,3.0090233776172557,172.40433999366854
138359 (2000 GX127),1.141,0.3613,20.24,43.98,4.75,0.729,1.55,17.97,1085.0,-31.19999999999999,-0.8049717679277258,-46.121484929443056
138404 (2000 HA24),1.139,0.3186,2.16,309.35,142.21,0.776,1.5,19.39,,-75.75,-1.6399259323637208,-93.9608346384977
138727 (2000 SU180),2.105,0.6052,11.92,327.89,136.33,0.831,3.38,19.34,,-121.62,-2.4897941547924667,-142.65469692595033
138846 (2000 VJ61),2.182,0.5647,18.69,270.31,280.71,0.95,3.41,16.09,,61.47,1.6363413089608327,93.75545084636838
138852 (2000 WN10),1.002,0.298,21.52,60.85,225.42,0.703,1.3,20.3,,-88.91,-1.8391096255420374,-105.37321960544396
138859 (2000 WN63),1.573,0.5315,13.16,55.86,144.43,0.737,2.41,18.98,,-34.78,-1.0743677096855087,-61.55673541011615
138877 (2000 XG47),2.14,0.543,25.32,43.79,127.62,0.978,3.3,16.78,,134.48000000000002,2.6184188906169776,150.02435142968
138883 (2000 YL29),1.536,0.344,21.89,182.72,115.93,1.008,2.06,16.85,1222.0,31.810000000000002,0.80257638550809,45.984239626478086
138893 (2000 YH66),1.173,0.7436,18.36,265.24,341.4,0.301,2.05,18.19,,-42.78999999999999,-1.4878711366064667,-85.24873658688331
138937 (2001 BK16),2.072,0.678,31.81,98.83,252.42,0.667,3.48,17.8,,-40.84,-1.3782650897097821,-78.9687726905903
138947 (2001 BA40),1.119,0.2537,12.85,270.86,0.09,0.835,1.4,18.82,447.0,50.870000000000005,1.1157304704113942,63.92664702871886
138971 (2001 CB21),1.034,0.3334,7.92,353.65,271.94,0.689,1.38,18.52,,-48.94999999999999,-1.1600009520746157,-66.46315878503276
139289 (2001 KR1),1.26,0.8412,23.26,102.7,291.49,0.2,2.32,17.8,1126.0,-113.02,-2.4856347018786855,-142.4163778289073
139345 (2001 KA67),1.805,0.7019,22.28,108.34,38.0,0.538,3.07,16.74,2586.0,-124.24000000000001,-2.556209812586426,-146.46003381112936
139359 (2001 ME1),2.634,0.8698,5.96,84.58,302.39,0.343,4.93,16.52,,51.00999999999999,1.7466743045750805,100.07706583610025
139622 (2001 QQ142),1.421,0.3101,9.34,83.16,337.97,0.98,1.86,18.46,,-116.33,-2.268064031051132,-129.95049664465836
140039 (2001 SO73),1.821,0.5677,4.85,197.07,31.14,0.787,2.85,18.08,,-156.73,-2.8814677108534323,-165.0959386351243
140158 (2001 SX169),1.347,0.4609,2.52,126.78,42.72,0.726,1.97,18.48,566.0,166.51,2.9802076314486796,170.75331935468887
140288 (2001 SN289),1.784,0.5082,53.19,357.06,225.63,0.877,2.69,16.74,1263.0,-30.139999999999986,-0.9349133319581812,-53.56658813171708
140333 (2001 TD2),0.9619,0.4816,19.03,12.81,199.11,0.499,1.43,19.24,,134.05,2.5914135594396988,148.4770599288688
141052 (2001 XR1),1.246,0.5501,17.67,291.46,304.23,0.56,1.93,17.46,,166.44,2.98870321199621,171.2400802645758
141053 (2001 XT1),1.528,0.5795,2.73,316.21,31.38,0.643,2.41,18.86,,96.64999999999998,2.166533275099917,124.13321283788093
141056 (2001 XV4),1.817,0.444,28.89,259.09,300.66,1.01,2.62,17.32,,15.349999999999994,0.4683270035917298,26.833160737814268
141079 (2001 XS30),1.165,0.8282,28.54,251.44,0.91,0.2,2.13,17.76,,79.50999999999999,2.101847571367435,120.4269950191761
141424 (2002 CD),0.9799,0.1768,6.88,8.66,331.79,0.807,1.15,20.65,,145.35000000000002,2.6242729257752786,150.35976293737178
141432 (2002 CQ11),0.9762,0.4275,2.47,81.34,272.64,0.559,1.39,20.06,239.0,110.44999999999999,2.2581443303066466,129.3821396579666
141484 (2002 DB4),0.8579,0.3695,16.6,234.22,94.16,0.541,1.17,16.32,1034.0,-124.45,-2.416982861506623,-138.48291711978226
141495 (2002 EZ11),1.114,0.8021,2.35,51.88,317.77,0.22,2.01,18.46,,-9.919999999999987,-0.67330409498452,-38.57748297148851
141498 (2002 EZ16),0.9216,0.5666,30.14,262.89,25.37,0.399,1.44,18.5,,-124.78,-2.5116191359810913,-143.90517623601093
141525 (2002 FV5),1.087,0.7245,34.04,38.83,308.11,0.299,1.87,18.07,,59.00999999999999,1.74362533888508,99.90237297018302
141526 (2002 FA6),1.014,0.3223,30.1,174.66,173.39,0.687,1.34,20.2,,107.32,2.143892279361959,122.83597933812229
141527 (2002 FG7),1.513,0.6267,9.2,187.46,247.72,0.565,2.46,18.94,,114.31,2.412560764067824,138.22954959994348
141531 (2002 GB),0.9921,0.529,22.55,40.8,8.33,0.467,1.52,19.15,303.0,-139.1,-2.6686953229476096,-152.90497881120027
141593 (2002 HK12),2.002,0.5287,2.35,306.97,2.28,0.944,3.06,18.32,,-99.6,-2.1738032554511397,-124.54975202914908
141614 (2002 JV15),1.624,0.5362,7.19,200.6,127.42,0.753,2.5,19.52,,-80.49,-1.9103927002097363,-109.45743893461903
141851 (2002 PM6),1.198,0.8502,19.14,304.0,224.53,0.179,2.22,17.81,,131.77999999999997,2.6792347926287987,153.5088459422385
143404 (2003 BD44),1.967,0.6077,2.66,181.16,89.4,0.772,3.16,16.95,,-154.89,-2.8677074457798195,-164.30753352142503
143487 (2003 CR20),2.124,0.7299,4.99,177.04,88.87,0.574,3.68,18.94,,-82.71,-2.0806353806329385,-119.21162601586296
143624 (2003 HM16),1.967,0.5774,35.54,195.83,47.2,0.831,3.1,15.92,2137.0,-134.52,-2.630327676888552,-150.70667462216454
143637 (2003 LP6),1.746,0.8837,43.56,144.44,260.72,0.203,3.29,16.58,,58.370000000000005,1.8645852703081238,106.83286653091528
143649 (2003 QQ47),1.085,0.187,62.1,0.98,104.96,0.882,1.29,17.39,,-17.22,-0.36778069082583303,-21.072281370726017
143651 (2003 QO104),2.133,0.5261,11.62,58.17,183.59,1.011,3.26,16.09,,-77.95,-1.8641143231381259,-106.80588324570076
143947 (2003 YQ117),2.182,0.6543,21.03,217.49,135.72,0.754,3.61,15.36,,168.18,3.0167604683910887,172.84764264071873
143992 (2004 AF),1.971,0.5537,27.13,315.61,57.99,0.88,3.06,16.16,,167.82999999999998,3.004730372178952,172.158368900627
144332 (2004 DV24),1.423,0.2897,55.89,171.13,186.42,1.011,1.84,16.61,,-101.33,-2.028431906021575,-116.22058724471349
144411 (2004 EW9),1.917,0.5339,8.79,288.79,8.18,0.894,2.94,16.54,,-171.63,-3.046305470908012,-174.54044659064186
144861 (2004 LA12),2.509,0.7492,39.42,159.18,199.48,0.629,4.39,15.32,,-93.89,-2.230628772029839,-127.80561429775923
144898 (2004 VD17),1.508,0.5888,4.22,223.94,91.02,0.62,2.4,18.89,,-20.909999999999997,-0.7783466224088867,-44.5959764622919
144900 (2004 VG64),0.9684,0.6557,36.25,208.84,43.96,0.333,1.6,18.29,,-96.6,-2.2116052965750574,-126.71564944252953
144901 (2004 WG1),1.64,0.5219,13.04,41.98,232.49,0.784,2.5,17.55,2240.0,-81.19,-1.9093139432228174,-109.39563071214833
152560 (1991 BN),1.444,0.398,3.45,268.8,80.99,0.869,2.02,19.23,,-56.19,-1.370764486884455,-78.53901980489516
152561 (1991 RB),1.454,0.4857,19.57,359.28,68.97,0.748,2.16,19.1,,-35.44999999999999,-1.0368000291755588,-59.404265870800145
152563 (1992 BF),0.9079,0.2717,7.25,315.19,336.57,0.661,1.15,19.71,272.0,62.27000000000001,1.3520414858335092,77.46627086485694
152564 (1992 HF),1.391,0.5617,13.32,213.36,128.35,0.61,2.17,19.63,282.0,-71.51,-1.7956456717446203,-102.88291849190036
152637 (1997 NC1),0.8649,0.2085,16.72,96.46,16.6,0.685,1.05,17.87,,65.94999999999999,1.3546951110697956,77.61831239130561
152664 (1998 FW4),2.52,0.714,3.41,353.53,85.61,0.721,4.32,19.68,,-177.75,-3.1186805535498325,-178.68723336792874
152667 (1998 FR11),2.807,0.7076,6.68,129.84,158.6,0.821,4.79,16.43,,112.60000000000002,2.4282626757887407,139.12920287183897
152671 (1998 HL3),1.129,0.366,2.68,163.63,188.15,0.716,1.54,20.24,298.0,74.91999999999999,1.6717376439332003,95.78351145051636
152679 (1998 KU2),2.252,0.5524,4.93,205.72,120.3,1.008,3.5,16.54,4167.0,-160.97,-2.9270583017448373,-167.70808707870938
152680 (1998 KJ9),1.448,0.6396,10.93,98.54,260.1,0.522,2.37,19.49,,63.03,1.7314453314741085,99.20450995109627
152685 (1998 MZ),1.346,0.573,0.15,122.3,39.22,0.575,2.12,19.33,,61.47,1.6443064185595004,94.21181800973119
152742 (1998 XE12),0.8781,0.7392,13.43,280.01,353.17,0.229,1.53,19.1,413.0,-163.49,-2.975587195748391,-170.48858788955073
152754 (1999 GS6),1.191,0.4974,2.02,314.36,135.0,0.599,1.78,19.22,414.0,46.74000000000001,1.2942705451047292,74.15623978259742
152756 (1999 JV3),1.451,0.4149,15.22,229.01,101.58,0.849,2.05,18.98,,-165.84,-2.966662827252222,-169.97725923990075
152770 (1999 RR28),1.878,0.6543,7.14,178.14,284.61,0.649,3.11,18.41,,-154.97,-2.876293114951024,-164.7994561292306
152828 (1999 VT25),1.162,0.5231,5.15,221.92,319.25,0.554,1.77,21.27,,28.409999999999997,0.9082868256125352,52.04100169493327
152889 (2000 CF59),1.679,0.6407,41.55,141.74,222.47,0.603,2.76,16.53,1022.0,174.16000000000003,3.07945280753195,176.43964908129294
152931 (2000 EA107),0.9297,0.4557,28.58,52.87,278.02,0.506,1.35,16.3,1646.0,-122.91,-2.4394873218801147,-139.77232771940274
152941 (2000 FM10),1.481,0.6807,8.73,18.52,343.98,0.473,2.49,17.61,820.0,120.52999999999997,2.5071279012968346,143.6478474438003
152964 (2000 GP82),1.397,0.3934,13.23,114.85,333.11,0.847,1.95,17.8,788.0,81.11000000000001,1.7988506882142095,103.06655240887773
152978 (2000 GJ147),1.162,0.2368,25.01,57.84,240.78,0.887,1.44,19.58,531.0,-91.32,-1.8231354676430807,-104.45796777655818
153002 (2000 JG5),1.341,0.796,31.42,213.03,233.46,0.273,2.41,18.28,,21.47999999999999,1.0750812479809606,61.597618142966496
153195 (2000 WB1),1.301,0.6192,41.1,21.36,262.91,0.496,2.11,17.51,1327.0,-174.85,-3.0860701006554,-176.81879204906755
153201 (2000 WO107),0.9111,0.7808,7.77,69.19,213.76,0.2,1.62,19.3,510.0,132.79000000000002,2.6713825666992776,153.05894653669372
153220 (2000 YN29),2.541,0.6679,6.23,64.21,142.61,0.844,4.24,17.43,,-154.37,-2.872092754412893,-164.55879319796242
153243 (2001 AU47),1.299,0.5307,35.98,311.9,9.38,0.61,1.99,17.5,,176.16000000000003,3.0978034922283,177.4910658655691
153249 (2001 BW15),2.117,0.5907,41.28,328.76,298.06,0.867,3.37,15.56,3160.0,122.81,2.497933524174185,143.1210484394208
153267 (2001 CB32),1.781,0.6138,9.68,75.54,330.53,0.688,2.87,17.8,,-6.47999999999999,-0.2866340977762638,-16.422924067120107
153271 (2001 CL42),1.557,0.4024,21.65,12.01,270.88,0.931,2.18,17.41,2441.0,2.1999999999999886,0.06422269397275947,3.679689313599397
153311 (2001 MG1),2.502,0.6459,28.41,142.32,218.53,0.886,4.12,17.4,,-136.23,-2.670696967594032,-153.01966460152522
153315 (2001 NH6),1.237,0.4496,34.7,112.53,288.41,0.681,1.79,19.55,,-4.960000000000008,-0.15675878615457617,-8.981616848251008
153349 (2001 PJ9),1.8,0.638,10.55,283.6,291.45,0.652,2.95,18.65,,-119.22999999999999,-2.47529230473384,-141.82380212245948
153415 (2001 QP153),0.8915,0.2139,50.21,317.67,244.27,0.701,1.08,17.01,,-140.95,-2.574876831183745,-147.52957519284794
153460 (2001 RN),1.414,0.5812,10.09,211.44,30.45,0.592,2.24,19.71,,1.8499999999999943,0.07699234627332124,4.411336496271105
153792 (2001 VH75),2.098,0.7429,10.48,274.53,246.12,0.54,3.66,18.16,,102.99000000000001,2.3342331348349843,133.74170702563623
153814 (2001 WN5),1.711,0.4673,1.92,277.35,44.65,0.912,2.51,18.28,932.0,106.57999999999998,2.229660479416466,127.75013521767926
153953 (2002 AD9),1.773,0.8089,31.01,2.56,9.81,0.339,3.21,16.81,,-110.43,-2.445841441089272,-140.13639193261045
153957 (2002 AB29),2.532,0.7591,46.54,89.71,73.16,0.61,4.45,17.76,,139.0,2.7298233158056067,156.40735481206934
153958 (2002 AM31),1.703,0.4514,4.64,144.36,197.95,0.934,2.47,18.35,,164.27999999999997,2.952205932219485,169.14894016966127
154019 (2002 CZ9),1.325,0.3602,4.97,142.84,80.88,0.848,1.8,22.07,,-17.069999999999993,-0.45680615977278705,-26.17306501055947
154020 (2002 CA10),1.541,0.5897,12.12,145.32,222.21,0.632,2.45,19.13,,33.08000000000001,1.103953215912666,63.25186005169027
154029 (2002 CY46),1.89,0.4624,44.2,346.14,319.4,1.016,2.76,16.52,1119.0,142.74,2.692170434823169,154.25000364526727
154035 (2002 CV59),1.21,0.532,49.06,13.09,347.15,0.566,1.85,17.38,1098.0,-19.419999999999987,-0.6688117682761872,-38.32009161090713
154229 (2002 JN97),1.851,0.7186,10.09,67.63,341.66,0.521,3.18,16.61,,-24.00999999999999,-1.0380763011642253,-59.4773908692615
154268 (2002 RM129),1.511,0.465,14.57,132.65,357.57,0.808,2.21,18.06,,-105.98,-2.2200803085701937,-127.20123186117358
154269 (2002 SM),1.871,0.4865,14.4,10.77,217.5,0.961,2.78,17.89,,-85.98,-1.9521794208204446,-111.85164166530494
154275 (2002 SR41),1.084,0.4908,11.58,247.77,258.2,0.552,1.62,20.13,,-70.77,-1.7204814285939745,-98.57632458907325
154276 (2002 SY50),1.705,0.6889,8.74,34.02,99.71,0.53,2.88,17.61,1060.0,-74.83,-1.9468023984514362,-111.54356097721333
154278 (2002 TB9),1.804,0.5915,29.76,196.22,322.67,0.737,2.87,16.49,,-70.79,-1.8101550374530464,-103.71424391040502
154300 (2002 UO),1.209,0.4725,8.29,90.66,184.26,0.638,1.78,19.37,,9.349999999999994,0.3051398287597154,17.483224349276355
154302 (2002 UQ3),1.72,0.5615,28.83,222.7,280.97,0.754,2.69,17.69,,-134.74,-2.62768230737129,-150.55510611357283
154330 (2002 VX94),1.477,0.4087,7.16,320.06,215.22,0.873,2.08,18.18,,33.110000000000014,0.8973498150489712,51.414357149151044
154347 (2002 XK4),1.85,0.6919,17.74,331.63,25.0,0.57,3.13,16.09,,-108.95,-2.3793329986764125,-136.32573888036472
